customer_id,recency_days,frequency,lifetime_value,first_purchase,country,avg_order_value,cluster,segment
12346,529,2,169.36,2010-03-02 13:08:00,United Kingdom,84.68,3,Inactive
12347,2,8,4921.53,2010-10-31 14:20:00,Iceland,615.19125,1,Premium
12348,75,5,1658.4,2010-09-27 14:59:00,Finland,331.67999999999995,0,Regular
12349,19,3,3678.69,2010-04-29 13:20:00,Italy,1226.23,2,Occasional
12350,310,1,294.4,2011-02-02 16:01:00,Norway,294.4,3,Inactive
12351,375,1,300.93,2010-11-29 15:23:00,Unspecified,300.93,3,Inactive
12352,36,9,1729.54,2010-11-12 10:20:00,Norway,192.17111111111112,1,Premium
12353,204,2,406.76,2010-10-27 12:44:00,Bahrain,203.38,3,Inactive
12354,232,1,1079.4,2011-04-21 13:11:00,Spain,1079.4,3,Inactive
12355,214,2,947.61,2010-05-21 11:59:00,Bahrain,473.805,0,Regular
12356,23,6,5611.73,2010-10-11 09:42:00,Portugal,935.2883333333332,1,Premium
12357,33,2,17437.66,2010-11-16 10:05:00,Switzerland,8718.83,0,Regular
12358,2,5,3447.07,2009-12-08 07:59:00,Austria,689.414,1,Premium
12359,58,10,8873.39,2009-12-05 13:32:00,Cyprus,887.3389999999999,1,Premium
12360,52,6,3612.89,2010-02-22 09:32:00,Austria,602.1483333333333,0,Regular
12361,287,4,451.25,2010-01-26 14:37:00,Belgium,112.8125,0,Regular
12362,3,10,4737.23,2011-02-17 10:30:00,Belgium,473.723,1,Premium
12363,110,2,552.0,2011-04-11 13:29:00,Unspecified,276.0,3,Inactive
12364,8,4,1208.1,2011-08-19 15:24:00,Belgium,302.025,2,Occasional
12365,291,1,320.69,2011-02-21 13:51:00,Cyprus,320.69,3,Inactive
12366,634,1,500.24,2010-03-16 10:28:00,Cyprus,500.24,3,Inactive
12367,4,1,150.9,2011-12-05 16:48:00,Denmark,150.9,2,Occasional
12368,628,1,917.7,2010-03-21 15:56:00,Cyprus,917.7,3,Inactive
12369,413,3,1511.15,2010-03-08 08:09:00,Austria,503.7166666666667,0,Regular
12370,51,7,3956.56,2010-02-09 09:41:00,Austria,565.2228571428572,0,Regular
12371,60,4,3347.38,2010-03-04 18:23:00,Switzerland,836.845,0,Regular
12372,72,3,1196.04,2011-02-16 12:46:00,Denmark,398.68,0,Regular
12373,311,3,927.65,2010-02-04 12:08:00,Austria,309.2166666666667,0,Regular
12374,25,3,2669.22,2010-04-30 14:01:00,Austria,889.7399999999999,2,Occasional
12375,11,2,377.5,2011-09-02 14:23:00,Finland,188.75,2,Occasional
12376,390,2,383.15,2010-10-18 08:42:00,Switzerland,191.575,3,Inactive
12377,315,4,3266.32,2010-04-29 15:34:00,Switzerland,816.58,0,Regular
12378,130,2,5416.32,2010-05-26 14:07:00,Switzerland,2708.16,0,Regular
12379,82,4,1470.22,2010-06-23 12:49:00,Belgium,367.555,0,Regular
12380,22,8,7210.65,2010-02-15 12:05:00,Belgium,901.33125,1,Premium
12381,5,3,1474.81,2011-08-12 09:57:00,Norway,491.6033333333333,2,Occasional
12383,185,5,1628.56,2010-12-22 14:28:00,Belgium,325.712,0,Regular
12384,29,2,425.27,2011-08-10 11:23:00,Switzerland,212.635,2,Occasional
12385,379,1,1668.4,2010-11-25 15:14:00,Belgium,1668.4,0,Regular
12386,338,2,401.9,2010-12-08 09:53:00,Australia,200.95,3,Inactive
12387,415,1,143.94,2010-10-20 16:27:00,Australia,143.94,3,Inactive
12388,16,8,3901.11,2010-05-06 12:54:00,Australia,487.63875,1,Premium
12389,403,3,1433.33,2010-02-22 10:15:00,Australia,477.7766666666666,0,Regular
12390,80,1,504.84,2011-09-21 09:33:00,Belgium,504.84,3,Inactive
12391,22,6,2724.84,2010-02-15 10:12:00,Cyprus,454.14,1,Premium
12392,591,1,234.75000000000003,2010-04-27 14:04:00,Australia,234.75000000000003,3,Inactive
12393,72,6,2399.4500000000003,2010-10-07 13:49:00,Australia,399.90833333333336,0,Regular
12394,64,2,1080.48,2011-05-06 14:01:00,Belgium,540.24,2,Occasional
12395,19,15,4241.17,2010-04-16 10:16:00,Belgium,282.74466666666666,1,Premium
12396,674,1,931.43,2010-02-03 13:22:00,RSA,931.43,3,Inactive
12397,36,2,2214.9,2011-07-27 14:21:00,Belgium,1107.45,2,Occasional
12398,46,1,1435.66,2011-10-25 10:27:00,Switzerland,1435.66,2,Occasional
12399,119,7,1842.3,2010-03-05 08:45:00,Belgium,263.18571428571425,0,Regular
12400,414,1,205.25,2010-10-21 13:45:00,Australia,205.25,3,Inactive
12401,303,1,69.3,2011-02-09 13:50:00,Belgium,69.3,3,Inactive
12402,323,6,1136.9,2010-02-07 12:41:00,Belgium,189.48333333333332,0,Regular
12403,50,2,947.36,2010-07-06 11:39:00,Denmark,473.68,2,Occasional
12405,149,1,1390.39,2011-07-14 08:52:00,Finland,1390.39,0,Regular
12406,22,5,6390.36,2010-01-11 14:04:00,Denmark,1278.072,1,Premium
12407,50,5,1507.12,2011-03-20 13:21:00,Belgium,301.42400000000004,0,Regular
12408,33,8,3905.77,2010-07-29 13:27:00,Belgium,488.22125,1,Premium
12409,79,7,23419.29,2010-05-23 15:21:00,Switzerland,3345.612857142857,1,Premium
12410,309,3,773.71,2010-07-25 13:26:00,Switzerland,257.90333333333336,0,Regular
12411,410,1,346.9,2010-10-26 09:25:00,Australia,346.9,3,Inactive
12412,75,6,2404.93,2010-06-18 13:22:00,Denmark,400.82166666666666,0,Regular
12413,67,4,871.45,2010-11-02 13:26:00,Spain,217.8625,0,Regular
12414,217,4,532.41,2010-09-02 12:22:00,Austria,133.1025,0,Regular
12415,24,24,144033.37,2010-06-30 08:30:00,Australia,6001.390416666666,1,Premium
12416,657,1,202.56,2010-02-21 10:19:00,Australia,202.56,3,Inactive
12417,3,20,5998.41,2009-12-06 10:30:00,Belgium,299.9205,1,Premium
12418,113,4,2021.2,2010-03-19 14:47:00,Switzerland,505.3,0,Regular
12419,386,2,391.01,2010-10-22 10:40:00,Spain,195.505,3,Inactive
12420,64,1,600.39,2011-10-07 08:55:00,Cyprus,600.39,2,Occasional
12421,16,6,874.6,2010-07-22 13:57:00,Spain,145.76666666666668,2,Occasional
12422,96,12,3639.35,2009-12-18 12:44:00,Australia,303.27916666666664,1,Premium
12423,1,10,2301.39,2010-08-31 09:31:00,Denmark,230.139,1,Premium
12424,163,4,3340.03,2010-06-09 15:15:00,Australia,835.0075,0,Regular
12425,78,2,1741.41,2010-09-17 14:10:00,Portugal,870.705,0,Regular
12426,195,2,1201.21,2010-02-15 08:41:00,Germany,600.605,0,Regular
12427,22,3,699.8,2010-12-03 10:44:00,Germany,233.26666666666665,2,Occasional
12428,26,8,6405.26,2011-03-01 09:33:00,Finland,800.6575,1,Premium
12429,9,8,5842.41,2010-06-11 13:28:00,Denmark,730.30125,1,Premium
12430,43,1,216.4,2011-10-27 15:09:00,Norway,216.4,2,Occasional
