date,year,quarter,month_number,month_name,year_month,week,day_name,is_weekend
2009-12-01,2009,Q4,12,Dec,2009-12,49,Tue,False
2009-12-02,2009,Q4,12,Dec,2009-12,49,Wed,False
2009-12-03,2009,Q4,12,Dec,2009-12,49,Thu,False
2009-12-04,2009,Q4,12,Dec,2009-12,49,Fri,False
2009-12-05,2009,Q4,12,Dec,2009-12,49,Sat,True
2009-12-06,2009,Q4,12,Dec,2009-12,49,Sun,True
2009-12-07,2009,Q4,12,Dec,2009-12,50,Mon,False
2009-12-08,2009,Q4,12,Dec,2009-12,50,Tue,False
2009-12-09,2009,Q4,12,Dec,2009-12,50,Wed,False
2009-12-10,2009,Q4,12,Dec,2009-12,50,Thu,False
2009-12-11,2009,Q4,12,Dec,2009-12,50,Fri,False
2009-12-12,2009,Q4,12,Dec,2009-12,50,Sat,True
2009-12-13,2009,Q4,12,Dec,2009-12,50,Sun,True
2009-12-14,2009,Q4,12,Dec,2009-12,51,Mon,False
2009-12-15,2009,Q4,12,Dec,2009-12,51,Tue,False
2009-12-16,2009,Q4,12,Dec,2009-12,51,Wed,False
2009-12-17,2009,Q4,12,Dec,2009-12,51,Thu,False
2009-12-18,2009,Q4,12,Dec,2009-12,51,Fri,False
2009-12-19,2009,Q4,12,Dec,2009-12,51,Sat,True
2009-12-20,2009,Q4,12,Dec,2009-12,51,Sun,True
2009-12-21,2009,Q4,12,Dec,2009-12,52,Mon,False
2009-12-22,2009,Q4,12,Dec,2009-12,52,Tue,False
2009-12-23,2009,Q4,12,Dec,2009-12,52,Wed,False
2009-12-24,2009,Q4,12,Dec,2009-12,52,Thu,False
2009-12-25,2009,Q4,12,Dec,2009-12,52,Fri,False
2009-12-26,2009,Q4,12,Dec,2009-12,52,Sat,True
2009-12-27,2009,Q4,12,Dec,2009-12,52,Sun,True
2009-12-28,2009,Q4,12,Dec,2009-12,53,Mon,False
2009-12-29,2009,Q4,12,Dec,2009-12,53,Tue,False
2009-12-30,2009,Q4,12,Dec,2009-12,53,Wed,False
2009-12-31,2009,Q4,12,Dec,2009-12,53,Thu,False
2010-01-01,2010,Q1,1,Jan,2010-01,53,Fri,False
2010-01-02,2010,Q1,1,Jan,2010-01,53,Sat,True
2010-01-03,2010,Q1,1,Jan,2010-01,53,Sun,True
2010-01-04,2010,Q1,1,Jan,2010-01,1,Mon,False
2010-01-05,2010,Q1,1,Jan,2010-01,1,Tue,False
2010-01-06,2010,Q1,1,Jan,2010-01,1,Wed,False
2010-01-07,2010,Q1,1,Jan,2010-01,1,Thu,False
2010-01-08,2010,Q1,1,Jan,2010-01,1,Fri,False
2010-01-09,2010,Q1,1,Jan,2010-01,1,Sat,True
2010-01-10,2010,Q1,1,Jan,2010-01,1,Sun,True
2010-01-11,2010,Q1,1,Jan,2010-01,2,Mon,False
2010-01-12,2010,Q1,1,Jan,2010-01,2,Tue,False
2010-01-13,2010,Q1,1,Jan,2010-01,2,Wed,False
2010-01-14,2010,Q1,1,Jan,2010-01,2,Thu,False
2010-01-15,2010,Q1,1,Jan,2010-01,2,Fri,False
2010-01-16,2010,Q1,1,Jan,2010-01,2,Sat,True
2010-01-17,2010,Q1,1,Jan,2010-01,2,Sun,True
2010-01-18,2010,Q1,1,Jan,2010-01,3,Mon,False
2010-01-19,2010,Q1,1,Jan,2010-01,3,Tue,False
