stock_code,description,category,units_sold,revenue,est_profit,n_orders,first_sold,last_sold,sales_velocity,days_since_sale,movement,restock_recommended
10002,INFLATABLE POLITICAL GLOBE,Other,8671,6942.26,1783.015,362,2009-12-01 09:08:00,2011-04-18 12:56:00,120.66998011928428,234,Dormant,False
10002R,ROBOT PENCIL SHARPNER,Stationery & Craft,4,20.57,6.094,3,2009-12-02 14:43:00,2010-01-25 17:36:00,0.5185185185185185,682,Dormant,False
10080,GROOVY CACTUS INFLATABLE,Other,315,129.29,43.295000000000016,27,2009-12-02 16:02:00,2011-11-21 17:04:00,3.066759388038943,17,Slow,False
10109,BENDY COLOUR PENCILS,Stationery & Craft,4,1.68,0.504,1,2009-12-03 12:31:00,2009-12-03 12:31:00,4.0,736,Dormant,False
10120,DOGGY RUBBER,Other,664,142.74,45.132000000000005,73,2009-12-01 16:17:00,2011-12-04 13:15:00,6.3497267759562845,4,Slow,False
10123C,HEARTS WRAPPING TAPE,Stationery & Craft,650,254.41000000000005,-41.33999999999997,63,2009-12-01 14:28:00,2011-03-31 13:14:00,9.400826446280991,252,Dormant,False
10123G,ARMY CAMO WRAPPING TAPE,Stationery & Craft,2251,165.55999999999997,-858.645,16,2009-12-01 14:28:00,2010-11-29 15:26:00,43.40771349862259,374,Dormant,False
10124A,SPOTS ON RED BOOKCOVER TAPE,Stationery & Craft,58,24.36,7.308,18,2010-03-19 14:05:00,2011-11-06 13:00:00,0.6812080536912752,32,Slow,False
10124G,ARMY CAMO BOOKCOVER TAPE,Stationery & Craft,33,14.28,4.578,10,2010-05-13 16:49:00,2011-11-06 13:00:00,0.4269870609981515,32,Slow,False
10125,MINI FUNKY DESIGN TAPES,Stationery & Craft,2103,1715.78,464.495,167,2009-12-01 14:28:00,2011-12-09 10:13:00,19.974219810040704,0,Medium,False
10133,COLOURING PENCILS BROWN TUBE,Jewellery,3837,2373.26,143.96300000000008,289,2009-12-01 11:45:00,2011-09-07 10:07:00,41.70652173913044,93,Dormant,False
10134,COLOURING PENCILS BROWN TUBE,Jewellery,625,721.13,174.25500000000002,52,2009-12-03 14:28:00,2010-11-12 13:43:00,12.755102040816327,391,Dormant,False
10135,COLOURING PENCILS BROWN TUBE,Jewellery,4226,4566.21,868.46,324,2009-12-01 11:45:00,2011-12-08 09:28:00,40.192934782608695,1,Medium,False
10138,ASSORTED COLOUR JUMBO PEN,Other,261,111.22,34.486,21,2009-12-02 12:43:00,2010-04-20 12:46:00,13.14388489208633,598,Dormant,False
11001,ASSTD DESIGN RACING CAR PEN,Home Decor,4829,7408.65,1695.943000000001,251,2009-12-01 14:28:00,2011-12-06 16:26:00,45.99047619047619,2,Medium,False
15030,FAN BLACK FRAME,Home Decor,254,73.66,22.098,26,2009-12-13 14:38:00,2011-12-06 12:21:00,2.462603878116344,3,Slow,False
15034,PAPER POCKET TRAVELING FAN,Stationery & Craft,10153,1416.2600000000002,421.2660000000001,255,2009-12-01 14:28:00,2011-12-08 09:28:00,96.56385869565216,1,Fast,True
15036,ASSORTED COLOURS SILK FAN,Other,44272,32967.03,7244.998000000001,991,2009-12-01 16:05:00,2011-12-09 10:03:00,420.493894165536,0,Fast,True
15039,SANDALWOOD FAN,Other,5101,4345.62,1310.525,306,2009-12-03 12:02:00,2011-12-09 10:03:00,48.58095238095238,0,Medium,False
15044A,PINK PAPER PARASOL,Stationery & Craft,4964,13210.85,2960.19,250,2009-12-07 11:46:00,2011-12-05 17:17:00,47.73076923076923,3,Medium,False
15044B,BLUE PAPER PARASOL,Stationery & Craft,1670,4644.13,1195.58,189,2009-12-01 17:45:00,2011-09-28 15:50:00,17.57894736842105,71,Medium,False
15044C,PURPLE PAPER PARASOL,Stationery & Craft,967,3027.26,1030.4050000000002,231,2009-12-01 14:28:00,2011-12-06 14:23:00,9.222070844686648,2,Slow,False
15044D,RED PAPER PARASOL,Stationery & Craft,1596,4559.650000000001,1263.91,227,2009-12-01 14:28:00,2011-12-05 16:03:00,15.220708446866483,3,Medium,False
15056BL,EDWARDIAN PARASOL BLACK,Garden & Outdoor,9620,48723.77,8656.470000000001,944,2009-12-01 11:50:00,2011-12-09 10:26:00,91.37042062415196,0,Fast,True
15056N,EDWARDIAN PARASOL NATURAL,Garden & Outdoor,11459,60145.85,12419.115000000002,1149,2009-12-01 11:50:00,2011-12-09 10:20:00,108.8371777476255,0,Fast,True
15056P,EDWARDIAN PARASOL PINK,Garden & Outdoor,2519,12806.76,2315.1250000000005,382,2009-12-01 16:17:00,2011-12-08 13:50:00,23.95788043478261,0,Medium,False
15058A,BLUE POLKADOT GARDEN PARASOL,Garden & Outdoor,476,3153.73,504.79000000000025,148,2010-01-24 12:12:00,2011-11-23 12:48:00,4.9880239520958085,16,Slow,False
15058B,PINK POLKADOT GARDEN PARASOL,Garden & Outdoor,438,3327.67,890.2000000000002,156,2010-01-13 17:51:00,2011-11-17 12:55:00,4.5625,21,Slow,False
15058C,ICE CREAM DESIGN GARDEN PARASOL,Garden & Outdoor,470,2753.72,138.17000000000027,122,2010-01-24 12:12:00,2011-12-09 10:03:00,4.816983894582723,0,Slow,False
15059A,ENGLISH ROSE EDWARDIAN PARASOL,Garden & Outdoor,509,1567.0,-3064.9,4,2009-12-01 14:28:00,2009-12-03 13:30:00,509.0,735,Dormant,False
15060B,FAIRY CAKE DESIGN UMBRELLA,Kitchen & Dining,1419,6486.79,2761.915,454,2009-12-03 13:32:00,2011-11-20 13:58:00,13.853556485355648,18,Medium,False
16008,SMALL FOLDING SCISSOR(POINTED EDGE),Other,3141,422.96,159.116,85,2010-03-19 14:02:00,2011-12-09 08:48:00,34.95548489666137,0,Medium,False
16010,FOLDING CAMPING SCISSOR W/KNIF & S,Other,32,3.84,1.152,4,2010-01-17 12:12:00,2011-03-28 14:27:00,0.5149425287356322,255,Dormant,False
16011,ANIMAL STICKERS,Stationery & Craft,3812,799.3199999999999,238.956,112,2009-12-04 11:22:00,2011-12-07 12:41:00,36.40381991814461,2,Medium,False
16012,FOOD/DRINK SPONGE STICKERS,Stationery & Craft,2901,608.01,181.563,83,2009-12-02 12:26:00,2011-12-05 14:49:00,27.703956343792637,3,Medium,False
16014,SMALL CHINESE STYLE SCISSOR,Other,29355,9513.1,882.7300000000006,93,2009-12-03 16:49:00,2011-12-09 08:48:00,279.57142857142856,0,Fast,True
16015,MEDIUM CHINESE STYLE SCISSOR,Other,1572,711.38,161.18000000000004,65,2009-12-03 14:36:00,2011-11-17 17:34:00,15.411764705882351,21,Medium,False
16016,LARGE CHINESE STYLE SCISSOR,Other,2314,1870.7,493.87,106,2009-12-03 16:49:00,2011-12-09 12:31:00,22.03809523809524,0,Medium,False
16020C,CLEAR STATIONERY BOX SET,Home Decor,160,134.5,39.3,39,2009-12-07 13:24:00,2011-07-05 17:09:00,1.9478260869565216,156,Dormant,False
16033,MINI HIGHLIGHTER PENS,Stationery & Craft,15121,1544.52,274.35600000000005,50,2009-12-10 12:44:00,2011-02-17 15:40:00,243.88709677419357,294,Dormant,False
16043,POP ART PUSH DOWN RUBBER,Other,2145,180.3,-450.33,13,2009-12-16 13:23:00,2011-06-09 19:33:00,27.80555555555556,182,Dormant,False
16044,POP-ART FLUORESCENT PENS,Candles & Fragrance,49,20.58,6.174,2,2010-01-07 14:20:00,2010-02-18 13:29:00,8.365853658536587,658,Dormant,False
16045,POPART WOODEN PENCILS ASST,Stationery & Craft,9312,429.44,168.70400000000004,74,2010-01-07 14:20:00,2011-12-05 12:08:00,93.6551724137931,4,Fast,True
16046,TEATIME PEN CASE & PENS,Stationery & Craft,10056,1223.5,-4759.82,59,2009-12-04 14:19:00,2011-11-28 11:26:00,97.3609958506224,11,Fast,True
